ticker
UNH
GS
MSFT
HD
MCD
V
AMGN
CAT
CRM
BA
HON
TRV
AAPL
JNJ
CVX
AXP
PG
WMT
JPM
IBM
NKE
MRK
MMM
DIS
KO
DOW
CSCO
VZ
WBA
INTC
