Year,Annual Returns
1998,0.0
1999,25.22145243170182
2000,-6.167892480899573
2001,-7.104381817187444
2002,-16.763241687679663
2003,25.322269148835442
2004,3.1480057241685344
2005,-0.6075298084672109
2006,16.28784697923955
2007,6.432322486690767
2008,-33.83709692253646
2009,18.819355110700407
2010,11.022770316598042
2011,5.528390819787665
2012,7.256604428380142
2013,26.499411636322566
2014,7.519065963831073
2015,-2.233285286990405
2016,13.415012771857505
2017,25.08080920526652
2018,-5.630274741678754
2019,22.338394321542076
2020,7.246506816770637
2021,18.727472090877505
2022,-8.781506014315465
2023,13.70336905776497
