Year,Annual Returns
1998,0.0
1999,33.985529250766255
2000,5.610621974619279
2001,-3.3684743940680884
2002,-14.62236188744005
2003,35.41943195035273
2004,17.785366225452947
2005,11.333379634389651
2006,15.599171430453417
2007,15.472266105575327
2008,-29.543048899812497
2009,37.58197402949026
2010,15.798051705540672
2011,7.644755290706384
2012,17.539317327705263
2013,34.64541371828205
2014,16.14339216125824
2015,3.3014100744471087
2016,14.157146647721941
2017,28.243258361898427
2018,-0.003012505682253863
2019,26.36835334229779
2020,8.428480714840635
2021,19.20582729069149
2022,-6.067676207732086
2023,17.176757560586253
